value,district,month
10.0,Auckland City,2009-01-01
14.0,Auckland City,2009-02-01
26.0,Auckland City,2009-03-01
22.0,Auckland City,2009-04-01
24.0,Auckland City,2009-05-01
17.0,Auckland City,2009-06-01
27.0,Auckland City,2009-07-01
19.0,Auckland City,2009-08-01
21.0,Auckland City,2009-09-01
15.0,Auckland City,2009-10-01
18.0,Auckland City,2009-11-01
14.0,Auckland City,2009-12-01
19.0,Auckland City,2010-01-01
19.0,Auckland City,2010-02-01
13.0,Auckland City,2010-03-01
27.0,Auckland City,2010-04-01
19.0,Auckland City,2010-05-01
16.0,Auckland City,2010-06-01
14.0,Auckland City,2010-07-01
20.0,Auckland City,2010-08-01
16.0,Auckland City,2010-09-01
22.0,Auckland City,2010-10-01
21.0,Auckland City,2010-11-01
9.0,Auckland City,2010-12-01
19.0,Auckland City,2011-01-01
11.0,Auckland City,2011-02-01
17.0,Auckland City,2011-03-01
13.0,Auckland City,2011-04-01
21.0,Auckland City,2011-05-01
24.0,Auckland City,2011-06-01
17.0,Auckland City,2011-07-01
21.0,Auckland City,2011-08-01
19.0,Auckland City,2011-09-01
15.0,Auckland City,2011-10-01
21.0,Auckland City,2011-11-01
22.0,Auckland City,2011-12-01
20.0,Auckland City,2012-01-01
24.0,Auckland City,2012-02-01
19.0,Auckland City,2012-03-01
18.0,Auckland City,2012-04-01
11.0,Auckland City,2012-05-01
15.0,Auckland City,2012-06-01
11.0,Auckland City,2012-07-01
16.0,Auckland City,2012-08-01
7.0,Auckland City,2012-09-01
14.0,Auckland City,2012-10-01
18.0,Auckland City,2012-11-01
25.0,Auckland City,2012-12-01
21.0,Auckland City,2013-01-01
16.0,Auckland City,2013-02-01
31.0,Auckland City,2013-03-01
15.0,Auckland City,2013-04-01
18.0,Auckland City,2013-05-01
11.0,Auckland City,2013-06-01
15.0,Auckland City,2013-07-01
16.0,Auckland City,2013-08-01
16.0,Auckland City,2013-09-01
21.0,Auckland City,2013-10-01
18.0,Auckland City,2013-11-01
15.0,Auckland City,2013-12-01
17.0,Auckland City,2014-01-01
12.0,Auckland City,2014-02-01
21.0,Auckland City,2014-03-01
27.0,Auckland City,2014-04-01
