category,value,series,district,area,month
Red Light,78.0,Officer issued red light,Auckland,Auckland Central Area,2009-01-01
Red Light,105.0,Officer issued red light,Auckland,Auckland Central Area,2009-02-01
Red Light,123.0,Officer issued red light,Auckland,Auckland Central Area,2009-03-01
Red Light,138.0,Officer issued red light,Auckland,Auckland Central Area,2009-04-01
Red Light,88.0,Officer issued red light,Auckland,Auckland Central Area,2009-05-01
Red Light,101.0,Officer issued red light,Auckland,Auckland Central Area,2009-06-01
Red Light,72.0,Officer issued red light,Auckland,Auckland Central Area,2009-07-01
Red Light,121.0,Officer issued red light,Auckland,Auckland Central Area,2009-08-01
Red Light,96.0,Officer issued red light,Auckland,Auckland Central Area,2009-09-01
Red Light,157.0,Officer issued red light,Auckland,Auckland Central Area,2009-10-01
Red Light,123.0,Officer issued red light,Auckland,Auckland Central Area,2009-11-01
Red Light,97.0,Officer issued red light,Auckland,Auckland Central Area,2009-12-01
Red Light,58.0,Officer issued red light,Auckland,Auckland Central Area,2010-01-01
Red Light,142.0,Officer issued red light,Auckland,Auckland Central Area,2010-02-01
Red Light,142.0,Officer issued red light,Auckland,Auckland Central Area,2010-03-01
Red Light,149.0,Officer issued red light,Auckland,Auckland Central Area,2010-04-01
Red Light,193.0,Officer issued red light,Auckland,Auckland Central Area,2010-05-01
Red Light,133.0,Officer issued red light,Auckland,Auckland Central Area,2010-06-01
Red Light,131.0,Officer issued red light,Auckland,Auckland Central Area,2010-07-01
Red Light,164.0,Officer issued red light,Auckland,Auckland Central Area,2010-08-01
Red Light,119.0,Officer issued red light,Auckland,Auckland Central Area,2010-09-01
Red Light,127.0,Officer issued red light,Auckland,Auckland Central Area,2010-10-01
Red Light,111.0,Officer issued red light,Auckland,Auckland Central Area,2010-11-01
Red Light,87.0,Officer issued red light,Auckland,Auckland Central Area,2010-12-01
Red Light,89.0,Officer issued red light,Auckland,Auckland Central Area,2011-01-01
Red Light,123.0,Officer issued red light,Auckland,Auckland Central Area,2011-02-01
Red Light,237.0,Officer issued red light,Auckland,Auckland Central Area,2011-03-01
Red Light,183.0,Officer issued red light,Auckland,Auckland Central Area,2011-04-01
Red Light,149.0,Officer issued red light,Auckland,Auckland Central Area,2011-05-01
Red Light,193.0,Officer issued red light,Auckland,Auckland Central Area,2011-06-01
Red Light,153.0,Officer issued red light,Auckland,Auckland Central Area,2011-07-01
Red Light,282.0,Officer issued red light,Auckland,Auckland Central Area,2011-08-01
Red Light,262.0,Officer issued red light,Auckland,Auckland Central Area,2011-09-01
Red Light,233.0,Officer issued red light,Auckland,Auckland Central Area,2011-10-01
Red Light,154.0,Officer issued red light,Auckland,Auckland Central Area,2011-11-01
Red Light,158.0,Officer issued red light,Auckland,Auckland Central Area,2011-12-01
Red Light,93.0,Officer issued red light,Auckland,Auckland Central Area,2012-01-01
Red Light,128.0,Officer issued red light,Auckland,Auckland Central Area,2012-02-01
Red Light,153.0,Officer issued red light,Auckland,Auckland Central Area,2012-03-01
Red Light,97.0,Officer issued red light,Auckland,Auckland Central Area,2012-04-01
Red Light,93.0,Officer issued red light,Auckland,Auckland Central Area,2012-05-01
Red Light,90.0,Officer issued red light,Auckland,Auckland Central Area,2012-06-01
Red Light,130.0,Officer issued red light,Auckland,Auckland Central Area,2012-07-01
Red Light,115.0,Officer issued red light,Auckland,Auckland Central Area,2012-08-01
Red Light,86.0,Officer issued red light,Auckland,Auckland Central Area,2012-09-01
Red Light,73.0,Officer issued red light,Auckland,Auckland Central Area,2012-10-01
Red Light,94.0,Officer issued red light,Auckland,Auckland Central Area,2012-11-01
Red Light,92.0,Officer issued red light,Auckland,Auckland Central Area,2012-12-01
Red Light,50.0,Officer issued red light,Auckland,Auckland Central Area,2013-01-01
Red Light,60.0,Officer issued red light,Auckland,Auckland Central Area,2013-02-01
Red Light,79.0,Officer issued red light,Auckland,Auckland Central Area,2013-03-01
Red Light,55.0,Officer issued red light,Auckland,Auckland Central Area,2013-04-01
Red Light,92.0,Officer issued red light,Auckland,Auckland Central Area,2013-05-01
Red Light,72.0,Officer issued red light,Auckland,Auckland Central Area,2013-06-01
Red Light,95.0,Officer issued red light,Auckland,Auckland Central Area,2013-07-01
Red Light,125.0,Officer issued red light,Auckland,Auckland Central Area,2013-08-01
Red Light,122.0,Officer issued red light,Auckland,Auckland Central Area,2013-09-01
Red Light,135.0,Officer issued red light,Auckland,Auckland Central Area,2013-10-01
Red Light,154.0,Officer issued red light,Auckland,Auckland Central Area,2013-11-01
Red Light,98.0,Officer issued red light,Auckland,Auckland Central Area,2013-12-01
Red Light,102.0,Officer issued red light,Auckland,Auckland Central Area,2014-01-01
Red Light,101.0,Officer issued red light,Auckland,Auckland Central Area,2014-02-01
Red Light,130.0,Officer issued red light,Auckland,Auckland Central Area,2014-03-01
Red Light,155.0,Officer issued red light,Auckland,Auckland Central Area,2014-04-01
Red Light,145.0,Officer issued red light,Auckland,Auckland Central Area,2014-05-01
Red Light,131.0,Officer issued red light,Auckland,Auckland Central Area,2014-06-01
Red Light,162.0,Officer issued red light,Auckland,Auckland Central Area,2014-07-01
Red Light,154.0,Officer issued red light,Auckland,Auckland Central Area,2014-08-01
Red Light,134.0,Officer issued red light,Auckland,Auckland Central Area,2014-09-01
Red Light,138.0,Officer issued red light,Auckland,Auckland Central Area,2014-10-01
Red Light,190.0,Officer issued red light,Auckland,Auckland Central Area,2014-11-01
Red Light,165.0,Officer issued red light,Auckland,Auckland Central Area,2014-12-01
Red Light,139.0,Officer issued red light,Auckland,Auckland Central Area,2015-01-01
Red Light,128.0,Officer issued red light,Auckland,Auckland Central Area,2015-02-01
Red Light,157.0,Officer issued red light,Auckland,Auckland Central Area,2015-03-01
Red Light,155.0,Officer issued red light,Auckland,Auckland Central Area,2015-04-01
Red Light,117.0,Officer issued red light,Auckland,Auckland Central Area,2015-05-01
Red Light,161.0,Officer issued red light,Auckland,Auckland Central Area,2015-06-01
Red Light,145.0,Officer issued red light,Auckland,Auckland Central Area,2015-07-01
Red Light,122.0,Officer issued red light,Auckland,Auckland Central Area,2015-08-01
Red Light,145.0,Officer issued red light,Auckland,Auckland Central Area,2015-09-01
Red Light,129.0,Officer issued red light,Auckland,Auckland Central Area,2015-10-01
Red Light,103.0,Officer issued red light,Auckland,Auckland Central Area,2015-11-01
Red Light,108.0,Officer issued red light,Auckland,Auckland Central Area,2015-12-01
Red Light,135.0,Officer issued red light,Auckland,Auckland Central Area,2016-01-01
Red Light,125.0,Officer issued red light,Auckland,Auckland Central Area,2016-02-01
Red Light,133.0,Officer issued red light,Auckland,Auckland Central Area,2016-03-01
Red Light,132.0,Officer issued red light,Auckland,Auckland Central Area,2016-04-01
Red Light,133.0,Officer issued red light,Auckland,Auckland Central Area,2016-05-01
Red Light,171.0,Officer issued red light,Auckland,Auckland Central Area,2016-06-01
Red Light,184.0,Officer issued red light,Auckland,Auckland Central Area,2016-07-01
Red Light,179.0,Officer issued red light,Auckland,Auckland Central Area,2016-08-01
Red Light,125.0,Officer issued red light,Auckland,Auckland Central Area,2016-09-01
Red Light,36.0,Officer issued red light,Auckland,Auckland East Area,2009-01-01
Red Light,30.0,Officer issued red light,Auckland,Auckland East Area,2009-02-01
Red Light,64.0,Officer issued red light,Auckland,Auckland East Area,2009-03-01
Red Light,39.0,Officer issued red light,Auckland,Auckland East Area,2009-04-01
Red Light,57.0,Officer issued red light,Auckland,Auckland East Area,2009-05-01
Red Light,54.0,Officer issued red light,Auckland,Auckland East Area,2009-06-01
Red Light,59.0,Officer issued red light,Auckland,Auckland East Area,2009-07-01
Red Light,36.0,Officer issued red light,Auckland,Auckland East Area,2009-08-01
Red Light,38.0,Officer issued red light,Auckland,Auckland East Area,2009-09-01
Red Light,64.0,Officer issued red light,Auckland,Auckland East Area,2009-10-01
Red Light,33.0,Officer issued red light,Auckland,Auckland East Area,2009-11-01
Red Light,33.0,Officer issued red light,Auckland,Auckland East Area,2009-12-01
Red Light,36.0,Officer issued red light,Auckland,Auckland East Area,2010-01-01
Red Light,48.0,Officer issued red light,Auckland,Auckland East Area,2010-02-01
Red Light,39.0,Officer issued red light,Auckland,Auckland East Area,2010-03-01
Red Light,28.0,Officer issued red light,Auckland,Auckland East Area,2010-04-01
Red Light,39.0,Officer issued red light,Auckland,Auckland East Area,2010-05-01
Red Light,42.0,Officer issued red light,Auckland,Auckland East Area,2010-06-01
Red Light,27.0,Officer issued red light,Auckland,Auckland East Area,2010-07-01
Red Light,36.0,Officer issued red light,Auckland,Auckland East Area,2010-08-01
Red Light,68.0,Officer issued red light,Auckland,Auckland East Area,2010-09-01
Red Light,66.0,Officer issued red light,Auckland,Auckland East Area,2010-10-01
Red Light,43.0,Officer issued red light,Auckland,Auckland East Area,2010-11-01
Red Light,55.0,Officer issued red light,Auckland,Auckland East Area,2010-12-01
Red Light,33.0,Officer issued red light,Auckland,Auckland East Area,2011-01-01
Red Light,38.0,Officer issued red light,Auckland,Auckland East Area,2011-02-01
Red Light,49.0,Officer issued red light,Auckland,Auckland East Area,2011-03-01
Red Light,47.0,Officer issued red light,Auckland,Auckland East Area,2011-04-01
Red Light,57.0,Officer issued red light,Auckland,Auckland East Area,2011-05-01
Red Light,42.0,Officer issued red light,Auckland,Auckland East Area,2011-06-01
Red Light,26.0,Officer issued red light,Auckland,Auckland East Area,2011-07-01
Red Light,38.0,Officer issued red light,Auckland,Auckland East Area,2011-08-01
Red Light,40.0,Officer issued red light,Auckland,Auckland East Area,2011-09-01
Red Light,31.0,Officer issued red light,Auckland,Auckland East Area,2011-10-01
Red Light,27.0,Officer issued red light,Auckland,Auckland East Area,2011-11-01
Red Light,41.0,Officer issued red light,Auckland,Auckland East Area,2011-12-01
Red Light,36.0,Officer issued red light,Auckland,Auckland East Area,2012-01-01
Red Light,32.0,Officer issued red light,Auckland,Auckland East Area,2012-02-01
Red Light,37.0,Officer issued red light,Auckland,Auckland East Area,2012-03-01
Red Light,31.0,Officer issued red light,Auckland,Auckland East Area,2012-04-01
Red Light,32.0,Officer issued red light,Auckland,Auckland East Area,2012-05-01
Red Light,24.0,Officer issued red light,Auckland,Auckland East Area,2012-06-01
Red Light,29.0,Officer issued red light,Auckland,Auckland East Area,2012-07-01
Red Light,45.0,Officer issued red light,Auckland,Auckland East Area,2012-08-01
Red Light,27.0,Officer issued red light,Auckland,Auckland East Area,2012-09-01
Red Light,29.0,Officer issued red light,Auckland,Auckland East Area,2012-10-01
Red Light,32.0,Officer issued red light,Auckland,Auckland East Area,2012-11-01
Red Light,20.0,Officer issued red light,Auckland,Auckland East Area,2012-12-01
Red Light,15.0,Officer issued red light,Auckland,Auckland East Area,2013-01-01
Red Light,15.0,Officer issued red light,Auckland,Auckland East Area,2013-02-01
Red Light,28.0,Officer issued red light,Auckland,Auckland East Area,2013-03-01
Red Light,25.0,Officer issued red light,Auckland,Auckland East Area,2013-04-01
Red Light,28.0,Officer issued red light,Auckland,Auckland East Area,2013-05-01
Red Light,27.0,Officer issued red light,Auckland,Auckland East Area,2013-06-01
Red Light,27.0,Officer issued red light,Auckland,Auckland East Area,2013-07-01
Red Light,41.0,Officer issued red light,Auckland,Auckland East Area,2013-08-01
Red Light,43.0,Officer issued red light,Auckland,Auckland East Area,2013-09-01
Red Light,72.0,Officer issued red light,Auckland,Auckland East Area,2013-10-01
Red Light,31.0,Officer issued red light,Auckland,Auckland East Area,2013-11-01
Red Light,41.0,Officer issued red light,Auckland,Auckland East Area,2013-12-01
Red Light,44.0,Officer issued red light,Auckland,Auckland East Area,2014-01-01
Red Light,40.0,Officer issued red light,Auckland,Auckland East Area,2014-02-01
Red Light,59.0,Officer issued red light,Auckland,Auckland East Area,2014-03-01
Red Light,36.0,Officer issued red light,Auckland,Auckland East Area,2014-04-01
Red Light,31.0,Officer issued red light,Auckland,Auckland East Area,2014-05-01
Red Light,39.0,Officer issued red light,Auckland,Auckland East Area,2014-06-01
Red Light,34.0,Officer issued red light,Auckland,Auckland East Area,2014-07-01
Red Light,48.0,Officer issued red light,Auckland,Auckland East Area,2014-08-01
Red Light,32.0,Officer issued red light,Auckland,Auckland East Area,2014-09-01
Red Light,65.0,Officer issued red light,Auckland,Auckland East Area,2014-10-01
Red Light,122.0,Officer issued red light,Auckland,Auckland East Area,2014-11-01
Red Light,50.0,Officer issued red light,Auckland,Auckland East Area,2014-12-01
Red Light,61.0,Officer issued red light,Auckland,Auckland East Area,2015-01-01
Red Light,29.0,Officer issued red light,Auckland,Auckland East Area,2015-02-01
Red Light,40.0,Officer issued red light,Auckland,Auckland East Area,2015-03-01
Red Light,41.0,Officer issued red light,Auckland,Auckland East Area,2015-04-01
Red Light,50.0,Officer issued red light,Auckland,Auckland East Area,2015-05-01
Red Light,50.0,Officer issued red light,Auckland,Auckland East Area,2015-06-01
Red Light,32.0,Officer issued red light,Auckland,Auckland East Area,2015-07-01
Red Light,41.0,Officer issued red light,Auckland,Auckland East Area,2015-08-01
Red Light,64.0,Officer issued red light,Auckland,Auckland East Area,2015-09-01
Red Light,37.0,Officer issued red light,Auckland,Auckland East Area,2015-10-01
Red Light,47.0,Officer issued red light,Auckland,Auckland East Area,2015-11-01
Red Light,37.0,Officer issued red light,Auckland,Auckland East Area,2015-12-01
Red Light,44.0,Officer issued red light,Auckland,Auckland East Area,2016-01-01
Red Light,67.0,Officer issued red light,Auckland,Auckland East Area,2016-02-01
Red Light,44.0,Officer issued red light,Auckland,Auckland East Area,2016-03-01
Red Light,35.0,Officer issued red light,Auckland,Auckland East Area,2016-04-01
Red Light,42.0,Officer issued red light,Auckland,Auckland East Area,2016-05-01
Red Light,55.0,Officer issued red light,Auckland,Auckland East Area,2016-06-01
Red Light,37.0,Officer issued red light,Auckland,Auckland East Area,2016-07-01
Red Light,37.0,Officer issued red light,Auckland,Auckland East Area,2016-08-01
Red Light,50.0,Officer issued red light,Auckland,Auckland East Area,2016-09-01
Red Light,47.0,Officer issued red light,Auckland,Auckland West Area,2009-01-01
Red Light,36.0,Officer issued red light,Auckland,Auckland West Area,2009-02-01
Red Light,54.0,Officer issued red light,Auckland,Auckland West Area,2009-03-01
Red Light,43.0,Officer issued red light,Auckland,Auckland West Area,2009-04-01
Red Light,37.0,Officer issued red light,Auckland,Auckland West Area,2009-05-01
Red Light,47.0,Officer issued red light,Auckland,Auckland West Area,2009-06-01
Red Light,37.0,Officer issued red light,Auckland,Auckland West Area,2009-07-01
Red Light,43.0,Officer issued red light,Auckland,Auckland West Area,2009-08-01
Red Light,30.0,Officer issued red light,Auckland,Auckland West Area,2009-09-01
Red Light,47.0,Officer issued red light,Auckland,Auckland West Area,2009-10-01
Red Light,50.0,Officer issued red light,Auckland,Auckland West Area,2009-11-01
Red Light,51.0,Officer issued red light,Auckland,Auckland West Area,2009-12-01
Red Light,41.0,Officer issued red light,Auckland,Auckland West Area,2010-01-01
Red Light,60.0,Officer issued red light,Auckland,Auckland West Area,2010-02-01
Red Light,57.0,Officer issued red light,Auckland,Auckland West Area,2010-03-01
Red Light,37.0,Officer issued red light,Auckland,Auckland West Area,2010-04-01
Red Light,38.0,Officer issued red light,Auckland,Auckland West Area,2010-05-01
Red Light,62.0,Officer issued red light,Auckland,Auckland West Area,2010-06-01
Red Light,56.0,Officer issued red light,Auckland,Auckland West Area,2010-07-01
Red Light,52.0,Officer issued red light,Auckland,Auckland West Area,2010-08-01
Red Light,66.0,Officer issued red light,Auckland,Auckland West Area,2010-09-01
Red Light,57.0,Officer issued red light,Auckland,Auckland West Area,2010-10-01
Red Light,43.0,Officer issued red light,Auckland,Auckland West Area,2010-11-01
Red Light,34.0,Officer issued red light,Auckland,Auckland West Area,2010-12-01
Red Light,33.0,Officer issued red light,Auckland,Auckland West Area,2011-01-01
Red Light,48.0,Officer issued red light,Auckland,Auckland West Area,2011-02-01
Red Light,30.0,Officer issued red light,Auckland,Auckland West Area,2011-03-01
Red Light,34.0,Officer issued red light,Auckland,Auckland West Area,2011-04-01
Red Light,32.0,Officer issued red light,Auckland,Auckland West Area,2011-05-01
Red Light,44.0,Officer issued red light,Auckland,Auckland West Area,2011-06-01
Red Light,56.0,Officer issued red light,Auckland,Auckland West Area,2011-07-01
Red Light,56.0,Officer issued red light,Auckland,Auckland West Area,2011-08-01
Red Light,38.0,Officer issued red light,Auckland,Auckland West Area,2011-09-01
Red Light,57.0,Officer issued red light,Auckland,Auckland West Area,2011-10-01
Red Light,37.0,Officer issued red light,Auckland,Auckland West Area,2011-11-01
Red Light,58.0,Officer issued red light,Auckland,Auckland West Area,2011-12-01
Red Light,42.0,Officer issued red light,Auckland,Auckland West Area,2012-01-01
Red Light,51.0,Officer issued red light,Auckland,Auckland West Area,2012-02-01
Red Light,39.0,Officer issued red light,Auckland,Auckland West Area,2012-03-01
