value,series,district,area,speed,year
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,16-20,2010-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,<11,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,<11,2012-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,<11,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2013-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,16-20,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,36-40,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,46-50,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,>50,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,31-35,2016-01-01
15.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2009-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,21-25,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,26-30,2009-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,46-50,2009-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2010-01-01
24.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2010-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2010-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,21-25,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,41-45,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2010-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2011-01-01
13.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2011-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,21-25,2011-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,26-30,2011-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,41-45,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,46-50,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2011-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2012-01-01
16.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2012-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2012-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,46-50,2012-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2013-01-01
8.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2013-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2014-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,41-45,2014-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,46-50,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2014-01-01
8.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2015-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,21-25,2015-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2015-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,41-45,2015-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2015-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2016-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2016-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2016-01-01
