value,series,district,area,month
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2010-08-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2010-09-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2010-10-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2011-10-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2011-11-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2011-12-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2012-02-01
3.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2012-10-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2013-07-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2013-12-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2014-05-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2015-04-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2015-05-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2016-04-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland Central Area,2016-08-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2009-03-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2009-04-01
3.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2009-05-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2009-06-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2009-08-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2009-09-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2009-10-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2009-11-01
6.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2009-12-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-01-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-02-01
5.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-03-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-04-01
5.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-05-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-06-01
5.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-07-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-08-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-09-01
6.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-10-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2010-12-01
7.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-01-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-02-01
5.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-03-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-04-01
6.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-05-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-06-01
5.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-07-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-08-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-09-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2011-10-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-01-01
5.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-02-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-05-01
5.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-06-01
3.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-07-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-08-01
3.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-09-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-10-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-11-01
3.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2012-12-01
4.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2013-01-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2013-02-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2013-06-01
2.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2013-07-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2013-08-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2013-09-01
3.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2013-10-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2013-12-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2014-02-01
1.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2014-04-01
3.0,Police vehicle speed - detections by speed camera,Auckland,Auckland East Area,2014-05-01
