value,series,district,area,speed,month
27.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2009-12-01
84.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2009-12-01
109.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2009-12-01
66.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2009-12-01
17.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2009-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2009-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2009-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2009-12-01
14.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2010-01-01
82.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2010-01-01
133.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2010-01-01
62.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2010-01-01
24.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2010-01-01
6.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2010-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2010-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2010-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 46-50,2010-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, >50,2010-01-01
5.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2010-12-01
62.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2010-12-01
124.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2010-12-01
52.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2010-12-01
13.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2010-12-01
5.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2010-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2010-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2010-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 46-50,2010-12-01
5.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2011-01-01
87.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2011-01-01
183.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2011-01-01
69.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2011-01-01
18.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2011-01-01
7.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2011-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2011-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2011-12-01
91.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2011-12-01
116.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2011-12-01
36.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2011-12-01
18.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2011-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2011-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2011-12-01
54.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2012-01-01
107.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2012-01-01
40.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2012-01-01
27.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2012-01-01
6.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2012-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2012-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2012-01-01
